#,Wilayah,Jumlah Stok (Kg),tahun_filter,diambil_pada_utc,Jenis Komoditas,Nama,Alamat
1.0,Provinsi DI Yogyakarta,,2024,2026-08-30T15:27:10.919335+00:00,,Dinas Pertanian dan Ketahanan Pangan DIY,Jl. Gondosuli No. 6 Yogyakarta
2.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Among Tani,"Pencengan , Kedundang, Temon"
3.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Asih,"Plono Timur, Pagerharjo, Samigaluh"
4.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Asri Lestari,"Kepiton, Banjar Asri, Kalibawang"
5.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Catur Legowo,"Sidatan, Kalidengen, Temon"
6.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Cipta Boga,Galur Kulon Progo
7.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Dinas Pertanian dan Pangan,"Jl. Sugiman No.21, Serut, Pengasih, Wates, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55652"
8.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,Jatimakmur,"Jimatan, Jatirejo, Lendah"
9.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,KWT Giriloji,"Tegiri II, Hargowilis, Kokap"
10.0,Kabupaten Kulon Progo,,2024,2026-08-30T15:27:10.919335+00:00,,KWT Sarwodadi,"Menguri, Hargotirto, Kokap"
1.0,Kabupaten Kulon Progo,0.0,2025,2026-08-30T15:27:13.511894+00:00,,,
2.0,Kabupaten Bantul,0.0,2025,2026-08-30T15:27:13.511894+00:00,,,
3.0,Kabupaten Gunung Kidul,0.0,2025,2026-08-30T15:27:13.511894+00:00,,,
4.0,Kota Yogyakarta,101.46,2025,2026-08-30T15:27:13.511894+00:00,,,
5.0,Kabupaten Sleman,182.24,2025,2026-08-30T15:27:13.511894+00:00,,,
,Total,283.7,2025,2026-08-30T15:27:13.511894+00:00,,,
1.0,,89.45,2025,2026-08-30T15:27:13.512269+00:00,Gabah Kering Giling (GKG),,
2.0,,135.19,2025,2026-08-30T15:27:13.512269+00:00,Beras Medium,,
3.0,,59.02,2025,2026-08-30T15:27:13.512269+00:00,Beras Premium,,
4.0,,0.0,2025,2026-08-30T15:27:13.512269+00:00,Jagung,,
5.0,,15.0,2025,2026-08-30T15:27:13.512269+00:00,Kedelai,,
,,283.675,2025,2026-08-30T15:27:13.512269+00:00,Total,,
1.0,Provinsi DI Yogyakarta,,2025,2026-08-30T15:27:13.512539+00:00,,Dinas Pertanian dan Ketahanan Pangan DIY,Jl. Gondosuli No. 6 Yogyakarta
2.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Among Tani,"Pencengan , Kedundang, Temon"
3.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Asih,"Plono Timur, Pagerharjo, Samigaluh"
4.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Asri Lestari,"Kepiton, Banjar Asri, Kalibawang"
5.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Catur Legowo,"Sidatan, Kalidengen, Temon"
6.0,Kabupaten Kulon Progo,,2025,2026-08-30T15:27:13.512539+00:00,,Cipta Boga,Galur Kulon Progo
