tanggal,kabupaten_kota,pasar,komoditas,varian,satuan,harga,diambil_pada_utc
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Besar,kg,86000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Merah Keriting,kg,51000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Hijau,kg,38000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Cabai,Cabai Rawit Merah,kg,36000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Kampung,ekor,112500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Daging Ayam,Daging Ayam Ras,kg,35000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Belakang,kg,135000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Paha Depan,kg,135000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Daging Ruminansia,Daging Sapi Sandung Lamur,kg,87333,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Garam,Garam Halus,kg,12000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Curah,kg,17000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Gula,Gula Pasir Kemasan,kg,18000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Bandeng,kg,46000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Teri,kg,38000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Ikan,Ikan Tongkol,kg,37000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Jeruk,Jeruk Lokal,kg,24000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kacang Panjang,Kacang Panjang,kg,9000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Hijau,kg,24000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kacang-Kacangan,Kacang Tanah,kg,33000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kangkung,Kangkung,kg,8000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Impor,kg,12500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Kedelai Lokal,kg,12500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tahu Putih,kg,16500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kedelai,Tempe Bungkus,kg,16500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Kentang,Kentang Sedang,kg,24000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Ketela Pohon,Ketela Pohon,kg,7500,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Ketimun,Ketimun Sedang,kg,8000,2026-08-31
2024-02-01,Kota Yogyakarta,Pasar Prawirotaman,Mie Instan,Mie Instan,bks,3000,2026-08-31
