fetched_at_utc,kabupaten_kota,adm4,waktu_lokal,suhu_c,kelembapan_persen,cuaca_desc,curah_hujan_mm,kecepatan_angin_kmh
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-31 10:00:00,29,69,Cerah,0.1,7.7
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-31 13:00:00,29,69,Cerah,0,15.9
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-31 16:00:00,26,82,Cerah,0,15.6
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-31 19:00:00,24,88,Cerah,0,7.3
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-08-31 22:00:00,23,92,Cerah,0,1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 01:00:00,23,91,Cerah,0,1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 04:00:00,22,94,Cerah,0,1.8
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 07:00:00,26,73,Cerah,0,4.1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 10:00:00,30,59,Cerah,0,23.1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 13:00:00,29,65,Cerah,0,23.1
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 16:00:00,26,78,Cerah,0,6.7
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 19:00:00,23,88,Cerah,0,6.7
2026-08-30T08:40:33.898494+00:00,Kabupaten Kulon Progo,34.01.02.1008,2026-09-01 22:00:00,22,88,Cerah Berawan,0,3
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-30 15:00:00,28,65,Cerah,0,19.3
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-30 18:00:00,24,85,Cerah,0,11.3
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-30 21:00:00,24,88,Cerah Berawan,0,10.2
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 00:00:00,22,93,Cerah Berawan,0,2.8
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 03:00:00,19,98,Cerah,0,2.8
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 06:00:00,24,85,Cerah,0,3.4
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 09:00:00,30,50,Cerah,0,5
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 12:00:00,32,53,Cerah,0,18.8
2026-08-30T08:40:34.026099+00:00,Kabupaten Gunungkidul,34.03.01.2001,2026-08-31 15:00:00,28,67,Cerah,0.2,21.6
