periode,periode_mulai,periode_selesai,provinsi,kabupaten_kota,kecamatan,kode_wilayah,bera_ha,persiapan_lahan_ha,tanam_ha,vegetatif_1_ha,vegetatif_2_ha,generatif_1_ha,generatif_2_ha,panen_ha,total_luas_ha,sumber_layer,diambil_pada_utc
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Wates,340102,632.877,201.982,95.895,30.575,3.221,6.02,24.343,25.928,1020.841,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Panjatan,340103,195.989,52.795,80.826,62.414,162.756,508.798,146.738,20.713,1231.029,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Galur,340104,42.965,1.394,0.615,4.1,69.366,857.446,177.516,6.477,1159.879,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Lendah,340105,86.776,6.405,0.39,1.731,12.205,104.002,425.528,81.107,718.144,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Sentolo,340106,303.048,193.112,14.709,15.468,51.054,19.928,389.64,365.252,1352.211,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Pengasih,340107,231.618,117.004,46.802,38.019,32.85,21.455,117.171,129.121,734.04,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Kokap,340108,77.34,4.736,4.736,7.963,0.677,0.468,2.602,4.996,103.518,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Girimulyo,340109,138.386,10.012,8.135,48.23,96.124,23.49,66.233,60.649,451.259,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Nanggulan,340110,196.622,13.671,23.275,365.514,466.355,96.04,126.02,71.554,1359.051,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Samigaluh,340111,249.776,12.959,11.053,40.147,45.674,16.389,53.487,68.415,497.9,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Kulon Progo,Kalibawang,340112,158.665,6.619,17.82,329.132,118.304,11.849,22.402,15.829,680.62,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Srandakan,340201,189.154,7.086,9.726,26.215,112.084,98.421,26.956,15.192,484.834,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Sanden,340202,418.19,50.161,107.559,169.969,38.266,13.97,117.733,59.322,975.17,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Kretek,340203,341.036,17.382,18.277,93.031,309.193,35.658,40.368,26.614,881.559,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Pundong,340204,249.45,44.606,54.463,121.394,88.671,63.87,95.288,36.189,753.931,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Bambanglipuro,340205,270.784,87.292,76.498,88.282,75.179,96.295,156.72,150.923,1001.973,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Pandak,340206,278.391,19.17,10.869,16.645,101.497,163.286,169.362,75.909,835.129,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Pajangan,340207,123.183,11.226,1.996,6.087,22.95,10.228,57.476,43.306,276.452,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Bantul,340208,244.599,44.405,16.838,12.361,51.261,171.088,265.588,99.211,905.351,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Jetis,340209,383.021,22.027,28.399,120.695,161.792,149.822,160.609,59.301,1085.666,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Imogiri,340210,754.987,22.319,24.672,41.019,111.897,185.429,134.276,94.404,1369.003,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Dlingo,340211,525.991,10.293,13.492,52.022,79.632,6.398,27.75,24.759,740.337,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Banguntapan,340212,309.86,17.49,15.685,58.226,65.109,40.792,95.519,43.895,646.576,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Pleret,340213,353.854,10.041,4.303,11.246,40.395,32.419,106.782,78.609,637.649,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Piyungan,340214,410.615,76.843,89.115,74.417,51.015,12.058,108.736,79.126,901.925,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Sewon,340215,452.884,22.635,13.525,44.753,104.064,119.655,160.228,86.219,1003.963,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Kasihan,340216,204.346,13.892,7.772,28.658,40.85,39.83,71.499,52.021,458.868,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Bantul,Sedayu,340217,249.799,26.826,18.235,36.56,54.201,77.28,192.902,106.162,761.965,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Wonosari,340301,1810.957,8.979,16.034,66.7,85.228,2.637,9.193,4.988,2004.716,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Nglipar,340302,582.53,2.0,11.841,46.484,169.615,14.401,14.641,6.161,847.673,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Playen,340303,1100.154,1.426,6.201,48.925,79.619,2.604,4.589,3.783,1247.301,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Patuk,340304,487.122,12.213,36.17,115.691,205.68,14.294,43.418,23.89,938.478,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Paliyan,340305,1007.48,1.453,6.619,22.683,22.602,1.049,6.538,10.574,1078.998,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Panggang,340306,775.488,4.335,20.838,55.172,52.725,13.566,44.823,15.594,982.541,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Tepus,340307,1646.571,7.069,28.194,80.521,35.345,7.475,34.451,14.707,1854.333,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Semanu,340308,2526.691,7.903,28.65,71.221,56.761,7.185,19.22,6.646,2724.277,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Karangmojo,340309,1292.839,8.571,23.9,141.588,195.323,4.698,9.89,13.681,1690.49,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Ponjong,340310,1462.499,17.039,43.772,314.533,156.385,8.715,25.46,13.122,2041.525,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Rongkop,340311,1819.262,7.195,24.208,57.291,42.699,10.961,29.385,9.347,2000.348,simontadi2/18,2026-08-30T16:43:22.197914+00:00
7 - 18 April 2026,2026-04-07,2026-04-18,Daerah Istimewa Yogyakarta,Gunungkidul,Semin,340312,1330.009,0.49,12.621,79.036,444.317,214.684,40.192,16.42,2137.769,simontadi2/18,2026-08-30T16:43:22.197914+00:00
