tanggal,varian,harga,sebaran_pasar,n_pasar,satuan,komoditas
2024-02-06,Bawang Bombai,23667.0,2081.7,3,kg,Bawang
2024-02-06,Bawang Merah,23333.0,1527.5,3,kg,Bawang
2024-02-06,Bawang Putih Honan,36250.0,5909.0,4,kg,Bawang
2024-02-06,Bawang Putih Kating,40750.0,2872.3,4,kg,Bawang
2024-02-06,Beras Khusus,21750.0,1060.7,2,kg,Beras
2024-02-06,Beras Medium,14600.0,385.7,5,kg,Beras
2024-02-06,Beras Premium,15867.0,1026.3,3,kg,Beras
2024-02-06,Beras SPHP Bulog,10867.0,57.7,3,kg,Beras
2024-02-06,Cabai Merah Besar,70417.0,14735.6,4,kg,Cabai
2024-02-06,Cabai Merah Keriting,53583.0,17179.6,4,kg,Cabai
2024-02-06,Cabai Rawit Hijau,37500.0,2380.5,4,kg,Cabai
2024-02-06,Cabai Rawit Merah,39000.0,4899.0,4,kg,Cabai
2024-02-06,Daging Ayam Kampung,100333.0,8962.9,3,ekor,Daging Ayam
2024-02-06,Daging Ayam Ras,34333.0,577.4,3,kg,Daging Ayam
2024-02-06,Daging Sapi Paha Belakang,131667.0,2886.8,3,kg,Daging Ruminansia
2024-02-06,Daging Sapi Paha Depan,121667.0,18929.7,3,kg,Daging Ruminansia
2024-02-06,Daging Sapi Sandung Lamur,81667.0,2886.8,3,kg,Daging Ruminansia
2024-02-06,Daging Sapi Tetelan,55000.0,21213.2,2,kg,Daging Ruminansia
2024-02-06,Garam Halus,12333.0,577.4,3,kg,Garam
2024-02-06,Gula Pasir Curah,16833.0,288.7,3,kg,Gula
2024-02-06,Gula Pasir Kemasan,17667.0,577.4,3,kg,Gula
2024-02-06,Ikan Bandeng,40333.0,6350.9,3,kg,Ikan
2024-02-06,Ikan Teri,55333.0,21455.4,3,kg,Ikan
2024-02-06,Ikan Tongkol,34333.0,1154.7,3,kg,Ikan
2024-02-06,Jeruk Lokal,21000.0,1000.0,3,kg,Jeruk
2024-02-06,Kacang Hijau,21000.0,1000.0,3,kg,Kacang-Kacangan
2024-02-06,Kacang Panjang,8333.0,1527.5,3,kg,Kacang Panjang
2024-02-06,Kacang Tanah,29667.0,1527.5,3,kg,Kacang-Kacangan
2024-02-06,Kangkung,7000.0,1732.1,3,kg,Kangkung
2024-02-06,Kedelai Impor,13250.0,1936.5,4,kg,Kedelai
2024-02-06,Kedelai Lokal,14667.0,4645.8,3,kg,Kedelai
2024-02-06,Kentang Sedang,20000.0,1000.0,3,kg,Kentang
2024-02-06,Ketela Pohon,6667.0,577.4,3,kg,Ketela Pohon
2024-02-06,Ketimun Sedang,6333.0,577.4,3,kg,Ketimun
2024-02-06,Mie Instan,3133.0,230.9,3,bks,Mie Instan
2024-02-06,Minyak Goreng Sawit Curah,15333.0,577.4,3,lt,Minyak Sawit
2024-02-06,Minyak Goreng Sawit Kemasan Premium,18667.0,2081.7,3,lt,Minyak Sawit
2024-02-06,Minyakita,15000.0,0.0,3,lt,Minyak Sawit
2024-02-06,Pisang Lokal,17333.0,4041.5,3,kg,Pisang
2024-02-06,Sawi Hijau,8333.0,577.4,3,kg,Sawi Hijau
2024-02-06,Susu Bubuk,43000.0,,1,400gr,Susu
2024-02-06,Susu Bubuk Balita,39500.0,,1,400gr,Susu
2024-02-06,Susu Kental Manis,14267.0,3060.0,3,370gr,Susu
2024-02-06,Tahu Putih,11000.0,1000.0,3,kg,Kedelai
2024-02-06,Telur Ayam Kampung,54000.0,12165.5,3,kg,Telur Ayam
