# Unnamed: 0_level_1,Tanggal Unnamed: 1_level_1,Komoditas Bawang Merah Bawang Putih Bonggol Beras Medium Beras premium Beras SPHP Brokoli Cabe Merah Besar Cabe Merah Keriting Cabe Rawit Merah Daging Ayam Ras Daging Sapi Murni Gula Pasir Konsumsi Jagung Pipilan Kering Kacang Panjang Kedelai Biji Kering (Impor) Minyak Goreng Kemasan Pakcoy Sawi Putih Telur Ayam Ras Tepung Terigu Kemasan Terong Timun Tomat Wortel,Harga (Rp/Kg) Unnamed: 3_level_1
3690,2024-05-30,Bawang Putih Bonggol,26000
3691,2024-05-30,Cabe Rawit Merah,25000
3692,2024-05-30,Beras premium,14500
3693,2024-05-30,Minyak Goreng Curah,15000
3694,2024-05-27,Beras Medium,12500
3695,2024-05-27,Beras Termurah,12500
3696,2024-05-27,Gula Pasir Konsumsi,17000
3697,2024-05-27,Minyak Goreng Kemasan,16000
3698,2024-05-27,Daging Ayam Ras,35000
3699,2024-05-27,Telur Ayam Ras,28000
3700,2024-05-27,Daging Sapi Murni,130000
3701,2024-05-27,Bawang Merah,38000
3702,2024-05-27,Cabe Merah Keriting,35000
3703,2024-05-27,Cabe Merah Besar,45000
3704,2024-05-27,Jagung Pipilan Kering,11000
3705,2024-05-27,Kedelai Biji Kering (Impor),11300
3706,2024-05-27,Bawang Putih Kating,43000
3707,2024-05-27,Terigu,9000
3708,2024-05-27,Ubi Jalar,8000
3709,2024-05-27,Bawang Putih Bonggol,36000
3710,2024-05-27,Cabe Rawit Merah,30000
3711,2024-05-27,Beras premium,14500
3712,2024-05-27,Minyak Goreng Curah,15000
3713,2024-05-24,Beras Medium,12500
3714,2024-05-24,Beras Termurah,12500
3715,2024-05-24,Gula Pasir Konsumsi,17000
3716,2024-05-24,Minyak Goreng Kemasan,16000
3717,2024-05-24,Daging Ayam Ras,37000
3718,2024-05-24,Telur Ayam Ras,28000
3719,2024-05-24,Daging Sapi Murni,130000
3720,2024-05-24,Bawang Merah,38000
3721,2024-05-24,Cabe Merah Keriting,38000
3722,2024-05-24,Cabe Merah Besar,45000
3723,2024-05-24,Jagung Pipilan Kering,11000
3724,2024-05-24,Kedelai Biji Kering (Impor),11300
3725,2024-05-24,Bawang Putih Kating,43000
3726,2024-05-24,Terigu,9000
3727,2024-05-24,Ubi Jalar,8000
3728,2024-05-24,Bawang Putih Bonggol,36000
3729,2024-05-24,Cabe Rawit Merah,28000
3730,2024-05-24,Beras premium,14500
3731,2024-05-24,Minyak Goreng Curah,15000
3732,2024-05-20,Beras Medium,12500
3733,2024-05-20,Beras Termurah,12500
3734,2024-05-20,Gula Pasir Konsumsi,17000
3735,2024-05-20,Minyak Goreng Kemasan,16000
3736,2024-05-20,Daging Ayam Ras,37000
3737,2024-05-20,Telur Ayam Ras,29000
3738,2024-05-20,Daging Sapi Murni,130000
3739,2024-05-20,Bawang Merah,38000
3740,2024-05-20,Cabe Merah Keriting,40000
3741,2024-05-20,Cabe Merah Besar,50000
3742,2024-05-20,Jagung Pipilan Kering,11000
3743,2024-05-20,Kedelai Biji Kering (Impor),11300
3744,2024-05-20,Bawang Putih Kating,43000
3745,2024-05-20,Terigu,9000
3746,2024-05-20,Ubi Jalar,8000
3747,2024-05-20,Bawang Putih Bonggol,36000
3748,2024-05-20,Cabe Rawit Merah,30000
3749,2024-05-20,Beras premium,14500
3750,2024-05-20,Minyak Goreng Curah,15000
3751,2024-05-16,Beras Medium,12500
3752,2024-05-16,Beras Termurah,12500
3753,2024-05-16,Gula Pasir Konsumsi,17500
3754,2024-05-16,Minyak Goreng Kemasan,16000
3755,2024-05-16,Daging Ayam Ras,37000
3756,2024-05-16,Telur Ayam Ras,30000
3757,2024-05-16,Daging Sapi Murni,130000
3758,2024-05-16,Bawang Merah,38000
3759,2024-05-16,Cabe Merah Keriting,40000
3760,2024-05-16,Cabe Merah Besar,45000
3761,2024-05-16,Jagung Pipilan Kering,11000
3762,2024-05-16,Kedelai Biji Kering (Impor),11300
3763,2024-05-16,Bawang Putih Kating,43000
3764,2024-05-16,Terigu,9000
3765,2024-05-16,Ubi Jalar,8000
3766,2024-05-16,Bawang Putih Bonggol,36000
3767,2024-05-16,Cabe Rawit Merah,30000
3768,2024-05-16,Beras premium,14500
3769,2024-05-16,Minyak Goreng Curah,15000
3770,2024-05-13,Beras Medium,12500
3771,2024-05-13,Beras Termurah,12500
3772,2024-05-13,Gula Pasir Konsumsi,17500
3773,2024-05-13,Minyak Goreng Kemasan,16000
3774,2024-05-13,Daging Ayam Ras,37000
3775,2024-05-13,Telur Ayam Ras,30000
3776,2024-05-13,Daging Sapi Murni,130000
3777,2024-05-13,Bawang Merah,38000
3778,2024-05-13,Cabe Merah Keriting,35000
3779,2024-05-13,Cabe Merah Besar,45000
3780,2024-05-13,Jagung Pipilan Kering,11000
3781,2024-05-13,Kedelai Biji Kering (Impor),11300
3782,2024-05-13,Bawang Putih Kating,43000
3783,2024-05-13,Terigu,9000
3784,2024-05-13,Ubi Jalar,8000
3785,2024-05-13,Bawang Putih Bonggol,36000
3786,2024-05-13,Cabe Rawit Merah,22000
3787,2024-05-13,Beras premium,14500
3788,2024-05-13,Minyak Goreng Curah,15000
3789,2024-05-09,Beras Medium,12500
3790,2024-05-09,Beras Termurah,12500
3791,2024-05-09,Gula Pasir Konsumsi,18000
3792,2024-05-09,Minyak Goreng Kemasan,16000
3793,2024-05-09,Daging Ayam Ras,36000
3794,2024-05-09,Telur Ayam Ras,30000
3795,2024-05-09,Daging Sapi Murni,130000
3796,2024-05-09,Bawang Merah,46000
3797,2024-05-09,Cabe Merah Keriting,35000
3798,2024-05-09,Cabe Merah Besar,45000
3799,2024-05-09,Jagung Pipilan Kering,11000
3800,2024-05-09,Kedelai Biji Kering (Impor),11300
3801,2024-05-09,Bawang Putih Kating,44000
3802,2024-05-09,Terigu,9000
3803,2024-05-09,Ubi Jalar,8000
3804,2024-05-09,Bawang Putih Bonggol,36000
3805,2024-05-09,Cabe Rawit Merah,20000
3806,2024-05-09,Beras premium,14500
3807,2024-05-09,Minyak Goreng Curah,16000
3808,2024-05-02,Beras Medium,12500
3809,2024-05-02,Beras Termurah,12500
3810,2024-05-02,Gula Pasir Konsumsi,18000
3811,2024-05-02,Minyak Goreng Kemasan,16000
3812,2024-05-02,Daging Ayam Ras,36000
3813,2024-05-02,Telur Ayam Ras,30000
3814,2024-05-02,Daging Sapi Murni,130000
3815,2024-05-02,Bawang Merah,46000
3816,2024-05-02,Cabe Merah Keriting,40000
3817,2024-05-02,Cabe Merah Besar,60000
3818,2024-05-02,Jagung Pipilan Kering,11000
3819,2024-05-02,Kedelai Biji Kering (Impor),11000
3820,2024-05-02,Bawang Putih Kating,44000
3821,2024-05-02,Terigu,9000
3822,2024-05-02,Ubi Jalar,8000
3823,2024-05-02,Bawang Putih Bonggol,36000
3824,2024-05-02,Cabe Rawit Merah,25000
3825,2024-05-02,Beras premium,14500
3826,2024-05-02,Minyak Goreng Curah,16000
3827,2024-04-29,Beras Medium,13000
3828,2024-04-29,Beras Termurah,10800
3829,2024-04-29,Gula Pasir Konsumsi,18000
3830,2024-04-29,Minyak Goreng Kemasan,16000
3831,2024-04-29,Daging Ayam Ras,34000
3832,2024-04-29,Telur Ayam Ras,28000
3833,2024-04-29,Daging Sapi Murni,130000
3834,2024-04-29,Bawang Merah,47000
3835,2024-04-29,Cabe Merah Keriting,40000
3836,2024-04-29,Cabe Merah Besar,60000
3837,2024-04-29,Jagung Pipilan Kering,11000
3838,2024-04-29,Kedelai Biji Kering (Impor),11000
3839,2024-04-29,Bawang Putih Kating,44000
3840,2024-04-29,Terigu,9000
3841,2024-04-29,Ubi Jalar,8000
3842,2024-04-29,Bawang Putih Bonggol,36000
3843,2024-04-29,Cabe Rawit Merah,30000
3844,2024-04-29,Beras premium,14900
3845,2024-04-29,Minyak Goreng Curah,16000
3846,2024-04-25,Beras Medium,13000
3847,2024-04-25,Beras Termurah,10800
3848,2024-04-25,Gula Pasir Konsumsi,18000
3849,2024-04-25,Minyak Goreng Kemasan,16000
3850,2024-04-25,Daging Ayam Ras,36000
3851,2024-04-25,Telur Ayam Ras,28000
3852,2024-04-25,Daging Sapi Murni,130000
3853,2024-04-25,Bawang Merah,45000
3854,2024-04-25,Cabe Merah Keriting,35000
3855,2024-04-25,Cabe Merah Besar,40000
3856,2024-04-25,Jagung Pipilan Kering,11000
3857,2024-04-25,Kedelai Biji Kering (Impor),11000
3858,2024-04-25,Bawang Putih Kating,45000
3859,2024-04-25,Terigu,9000
3860,2024-04-25,Ubi Jalar,8000
3861,2024-04-25,Bawang Putih Bonggol,37000
3862,2024-04-25,Cabe Rawit Merah,30000
3863,2024-04-25,Beras premium,14900
3864,2024-04-25,Minyak Goreng Curah,16000
3865,2024-04-22,Beras Medium,13000
3866,2024-04-22,Beras Termurah,10800
3867,2024-04-22,Gula Pasir Konsumsi,18000
3868,2024-04-22,Minyak Goreng Kemasan,16000
3869,2024-04-22,Daging Ayam Ras,36000
3870,2024-04-22,Telur Ayam Ras,28000
3871,2024-04-22,Daging Sapi Murni,130000
3872,2024-04-22,Bawang Merah,45000
3873,2024-04-22,Cabe Merah Keriting,35000
3874,2024-04-22,Cabe Merah Besar,40000
3875,2024-04-22,Jagung Pipilan Kering,11000
3876,2024-04-22,Kedelai Biji Kering (Impor),11000
3877,2024-04-22,Bawang Putih Kating,45000
3878,2024-04-22,Terigu,9000
3879,2024-04-22,Ubi Jalar,8000
3880,2024-04-22,Bawang Putih Bonggol,37000
3881,2024-04-22,Cabe Rawit Merah,30000
3882,2024-04-22,Beras premium,14900
3883,2024-04-22,Minyak Goreng Curah,16000
3884,2024-04-18,Beras Medium,13000
3885,2024-04-18,Beras Termurah,10800
3886,2024-04-18,Gula Pasir Konsumsi,18000
3887,2024-04-18,Minyak Goreng Kemasan,16000
3888,2024-04-18,Daging Ayam Ras,36000
3889,2024-04-18,Telur Ayam Ras,28000
3890,2024-04-18,Daging Sapi Murni,130000
3891,2024-04-18,Bawang Merah,45000
3892,2024-04-18,Cabe Merah Keriting,30000
3893,2024-04-18,Cabe Merah Besar,40000
3894,2024-04-18,Jagung Pipilan Kering,11000
3895,2024-04-18,Kedelai Biji Kering (Impor),11000
3896,2024-04-18,Bawang Putih Kating,45000
3897,2024-04-18,Terigu,9000
3898,2024-04-18,Ubi Jalar,8000
3899,2024-04-18,Bawang Putih Bonggol,37000
3900,2024-04-18,Cabe Rawit Merah,25000
3901,2024-04-18,Beras premium,14900
3902,2024-04-18,Minyak Goreng Curah,16000
3903,2024-04-15,Beras Medium,13000
3904,2024-04-15,Beras Termurah,10800
3905,2024-04-15,Gula Pasir Konsumsi,18000
3906,2024-04-15,Minyak Goreng Kemasan,16000
3907,2024-04-15,Daging Ayam Ras,39000
3908,2024-04-15,Telur Ayam Ras,28000
3909,2024-04-15,Daging Sapi Murni,130000
3910,2024-04-15,Bawang Merah,40000
3911,2024-04-15,Cabe Merah Keriting,30000
3912,2024-04-15,Cabe Merah Besar,40000
3913,2024-04-15,Jagung Pipilan Kering,11000
3914,2024-04-15,Kedelai Biji Kering (Impor),11000
3915,2024-04-15,Bawang Putih Kating,45000
3916,2024-04-15,Terigu,10000
3917,2024-04-15,Ubi Jalar,8000
3918,2024-04-15,Bawang Putih Bonggol,37000
3919,2024-04-15,Cabe Rawit Merah,25000
3920,2024-04-15,Beras premium,14900
3921,2024-04-15,Minyak Goreng Curah,16000
3922,2024-04-08,Beras Medium,13000
3923,2024-04-08,Beras Termurah,10800
3924,2024-04-08,Gula Pasir Konsumsi,18000
3925,2024-04-08,Minyak Goreng Kemasan,16000
3926,2024-04-08,Daging Ayam Ras,39000
3927,2024-04-08,Telur Ayam Ras,27000
3928,2024-04-08,Daging Sapi Murni,135000
3929,2024-04-08,Bawang Merah,43000
3930,2024-04-08,Cabe Merah Keriting,45000
3931,2024-04-08,Cabe Merah Besar,70000
3932,2024-04-08,Jagung Pipilan Kering,11000
3933,2024-04-08,Kedelai Biji Kering (Impor),11000
3934,2024-04-08,Bawang Putih Kating,38000
3935,2024-04-08,Terigu,10000
3936,2024-04-08,Ubi Jalar,8000
3937,2024-04-08,Bawang Putih Bonggol,35000
3938,2024-04-08,Cabe Rawit Merah,40000
3939,2024-04-08,Beras premium,14900
3940,2024-04-08,Minyak Goreng Curah,16000
3941,2024-04-04,Beras Medium,13000
3942,2024-04-04,Beras Termurah,10800
3943,2024-04-04,Gula Pasir Konsumsi,17000
3944,2024-04-04,Minyak Goreng Kemasan,16000
3945,2024-04-04,Daging Ayam Ras,37000
3946,2024-04-04,Telur Ayam Ras,26000
3947,2024-04-04,Daging Sapi Murni,130000
3948,2024-04-04,Bawang Merah,43000
3949,2024-04-04,Cabe Merah Keriting,35000
3950,2024-04-04,Cabe Merah Besar,40000
3951,2024-04-04,Jagung Pipilan Kering,11000
3952,2024-04-04,Kedelai Biji Kering (Impor),11000
3953,2024-04-04,Bawang Putih Kating,38000
3954,2024-04-04,Terigu,10000
3955,2024-04-04,Ubi Jalar,8000
3956,2024-04-04,Bawang Putih Bonggol,35000
3957,2024-04-04,Cabe Rawit Merah,25000
3958,2024-04-04,Beras premium,14900
3959,2024-04-04,Minyak Goreng Curah,16000
3960,2024-03-28,Beras Medium,13000
3961,2024-03-28,Beras Termurah,10800
3962,2024-03-28,Gula Pasir Konsumsi,17000
3963,2024-03-28,Minyak Goreng Kemasan,16000
3964,2024-03-28,Daging Ayam Ras,37000
3965,2024-03-28,Telur Ayam Ras,28000
3966,2024-03-28,Daging Sapi Murni,130000
3967,2024-03-28,Bawang Merah,27000
3968,2024-03-28,Cabe Merah Keriting,30000
3969,2024-03-28,Cabe Merah Besar,35000
3970,2024-03-28,Jagung Pipilan Kering,11000
3971,2024-03-28,Kedelai Biji Kering (Impor),11000
3972,2024-03-28,Bawang Putih Kating,38000
3973,2024-03-28,Terigu,10000
3974,2024-03-28,Ubi Jalar,8000
3975,2024-03-28,Bawang Putih Bonggol,35000
3976,2024-03-28,Cabe Rawit Merah,30000
3977,2024-03-28,Beras premium,14900
3978,2024-03-28,Minyak Goreng Curah,16000
3979,2024-03-25,Beras Medium,13000
3980,2024-03-25,Beras Termurah,10800
3981,2024-03-25,Gula Pasir Konsumsi,17000
3982,2024-03-25,Minyak Goreng Kemasan,16000
3983,2024-03-25,Daging Ayam Ras,37000
3984,2024-03-25,Telur Ayam Ras,29000
3985,2024-03-25,Daging Sapi Murni,130000
3986,2024-03-25,Bawang Merah,27000
3987,2024-03-25,Cabe Merah Keriting,30000
3988,2024-03-25,Cabe Merah Besar,35000
3989,2024-03-25,Jagung Pipilan Kering,11000
3990,2024-03-25,Kedelai Biji Kering (Impor),11000
3991,2024-03-25,Bawang Putih Kating,38000
3992,2024-03-25,Terigu,10000
3993,2024-03-25,Ubi Jalar,8000
3994,2024-03-25,Bawang Putih Bonggol,35000
3995,2024-03-25,Cabe Rawit Merah,30000
3996,2024-03-25,Beras premium,14900
3997,2024-03-25,Minyak Goreng Curah,16000
3998,2024-03-18,Beras Medium,13000
3999,2024-03-18,Beras Termurah,10800
4000,2024-03-18,Gula Pasir Konsumsi,17000
4001,2024-03-18,Minyak Goreng Kemasan,16000
4002,2024-03-18,Daging Ayam Ras,37000
4003,2024-03-18,Telur Ayam Ras,31000
4004,2024-03-18,Daging Sapi Murni,130000
4005,2024-03-18,Bawang Merah,27000
4006,2024-03-18,Cabe Merah Keriting,40000
4007,2024-03-18,Cabe Merah Besar,65000
4008,2024-03-18,Jagung Pipilan Kering,11000
4009,2024-03-18,Kedelai Biji Kering (Impor),11000
4010,2024-03-18,Bawang Putih Kating,38000
4011,2024-03-18,Terigu,10000
4012,2024-03-18,Ubi Jalar,8000
4013,2024-03-18,Bawang Putih Bonggol,35000
4014,2024-03-18,Cabe Rawit Merah,40000
4015,2024-03-18,Beras premium,15000
4016,2024-03-18,Minyak Goreng Curah,16000
4017,2024-03-14,Beras Medium,13000
4018,2024-03-14,Beras Termurah,10800
4019,2024-03-14,Gula Pasir Konsumsi,17000
4020,2024-03-14,Minyak Goreng Kemasan,16000
4021,2024-03-14,Daging Ayam Ras,37000
4022,2024-03-14,Telur Ayam Ras,31000
4023,2024-03-14,Daging Sapi Murni,130000
4024,2024-03-14,Bawang Merah,25000
4025,2024-03-14,Cabe Merah Keriting,55000
4026,2024-03-14,Cabe Merah Besar,65000
4027,2024-03-14,Jagung Pipilan Kering,11000
4028,2024-03-14,Kedelai Biji Kering (Impor),11000
4029,2024-03-14,Bawang Putih Kating,38000
4030,2024-03-14,Terigu,10000
4031,2024-03-14,Ubi Jalar,8000
4032,2024-03-14,Bawang Putih Bonggol,35000
4033,2024-03-14,Cabe Rawit Merah,50000
4034,2024-03-14,Beras premium,15000
4035,2024-03-14,Minyak Goreng Curah,15000
4036,2024-03-12,Beras Medium,13000
4037,2024-03-12,Beras Termurah,10800
4038,2024-03-12,Gula Pasir Konsumsi,17000
4039,2024-03-12,Minyak Goreng Kemasan,16000
4040,2024-03-12,Daging Ayam Ras,37000
4041,2024-03-12,Telur Ayam Ras,31000
4042,2024-03-12,Daging Sapi Murni,130000
4043,2024-03-12,Bawang Merah,25000
4044,2024-03-12,Cabe Merah Keriting,40000
4045,2024-03-12,Cabe Merah Besar,65000
4046,2024-03-12,Jagung Pipilan Kering,11000
4047,2024-03-12,Kedelai Biji Kering (Impor),11000
4048,2024-03-12,Bawang Putih Kating,38000
4049,2024-03-12,Terigu,10000
4050,2024-03-12,Ubi Jalar,8000
4051,2024-03-12,Bawang Putih Bonggol,35000
4052,2024-03-12,Cabe Rawit Merah,40000
4053,2024-03-12,Beras premium,15000
4054,2024-03-12,Minyak Goreng Curah,15000
4055,2024-03-07,Beras Medium,13000
4056,2024-03-07,Beras Termurah,10800
4057,2024-03-07,Gula Pasir Konsumsi,17000
4058,2024-03-07,Minyak Goreng Kemasan,16000
4059,2024-03-07,Daging Ayam Ras,38000
4060,2024-03-07,Telur Ayam Ras,31000
4061,2024-03-07,Daging Sapi Murni,130000
4062,2024-03-07,Bawang Merah,22000
4063,2024-03-07,Cabe Merah Keriting,55000
4064,2024-03-07,Cabe Merah Besar,80000
4065,2024-03-07,Jagung Pipilan Kering,8000
4066,2024-03-07,Kedelai Biji Kering (Impor),11000
4067,2024-03-07,Bawang Putih Kating,38000
4068,2024-03-07,Terigu,10000
4069,2024-03-07,Ubi Jalar,8000
4070,2024-03-07,Bawang Putih Bonggol,33000
4071,2024-03-07,Cabe Rawit Merah,60000
4072,2024-03-07,Beras premium,15000
4073,2024-03-07,Minyak Goreng Curah,15000
4074,2024-03-04,Beras Medium,13000
4075,2024-03-04,Beras Termurah,10800
4076,2024-03-04,Gula Pasir Konsumsi,17000
4077,2024-03-04,Minyak Goreng Kemasan,16000
4078,2024-03-04,Daging Ayam Ras,38000
4079,2024-03-04,Telur Ayam Ras,31000
4080,2024-03-04,Daging Sapi Murni,130000
4081,2024-03-04,Bawang Merah,22000
4082,2024-03-04,Cabe Merah Keriting,65000
4083,2024-03-04,Cabe Merah Besar,80000
4084,2024-03-04,Jagung Pipilan Kering,8000
4085,2024-03-04,Kedelai Biji Kering (Impor),11000
4086,2024-03-04,Bawang Putih Kating,38000
4087,2024-03-04,Terigu,10000
4088,2024-03-04,Ubi Jalar,8000
4089,2024-03-04,Bawang Putih Bonggol,33000
4090,2024-03-04,Cabe Rawit Merah,55000
4091,2024-03-04,Beras premium,15000
4092,2024-03-04,Minyak Goreng Curah,15000
4093,2024-02-29,Beras Medium,13000
4094,2024-02-29,Beras Termurah,10800
4095,2024-02-29,Gula Pasir Konsumsi,17000
4096,2024-02-29,Minyak Goreng Kemasan,16000
4097,2024-02-29,Daging Ayam Ras,37000
4098,2024-02-29,Telur Ayam Ras,32000
4099,2024-02-29,Daging Sapi Murni,130000
4100,2024-02-29,Bawang Merah,22000
4101,2024-02-29,Cabe Merah Keriting,65000
4102,2024-02-29,Cabe Merah Besar,80000
4103,2024-02-29,Jagung Pipilan Kering,8000
4104,2024-02-29,Kedelai Biji Kering (Impor),11000
4105,2024-02-29,Bawang Putih Kating,38000
4106,2024-02-29,Terigu,10000
4107,2024-02-29,Ubi Jalar,8000
4108,2024-02-29,Bawang Putih Bonggol,33000
4109,2024-02-29,Cabe Rawit Merah,55000
4110,2024-02-29,Beras premium,15000
4111,2024-02-29,Minyak Goreng Curah,15000
4112,2024-02-26,Beras Medium,13000
4113,2024-02-26,Beras Termurah,10800
4114,2024-02-26,Gula Pasir Konsumsi,17000
4115,2024-02-26,Minyak Goreng Kemasan,16000
4116,2024-02-26,Daging Ayam Ras,35000
4117,2024-02-26,Telur Ayam Ras,30000
4118,2024-02-26,Daging Sapi Murni,130000
4119,2024-02-26,Bawang Merah,22000
4120,2024-02-26,Cabe Merah Keriting,80000
4121,2024-02-26,Cabe Merah Besar,80000
4122,2024-02-26,Jagung Pipilan Kering,8000
4123,2024-02-26,Kedelai Biji Kering (Impor),11000
4124,2024-02-26,Bawang Putih Kating,38000
4125,2024-02-26,Terigu,10000
4126,2024-02-26,Ubi Jalar,8000
4127,2024-02-26,Bawang Putih Bonggol,33000
4128,2024-02-26,Cabe Rawit Merah,65000
4129,2024-02-26,Beras premium,15000
4130,2024-02-26,Minyak Goreng Curah,15000
4131,2024-02-22,Beras Medium,13000
4132,2024-02-22,Beras Termurah,10800
4133,2024-02-22,Gula Pasir Konsumsi,17000
4134,2024-02-22,Minyak Goreng Kemasan,15000
4135,2024-02-22,Daging Ayam Ras,35000
4136,2024-02-22,Telur Ayam Ras,30000
4137,2024-02-22,Daging Sapi Murni,130000
4138,2024-02-22,Bawang Merah,22000
4139,2024-02-22,Cabe Merah Keriting,85000
4140,2024-02-22,Cabe Merah Besar,80000
4141,2024-02-22,Jagung Pipilan Kering,8000
4142,2024-02-22,Kedelai Biji Kering (Impor),11000
4143,2024-02-22,Bawang Putih Kating,38000
4144,2024-02-22,Terigu,10000
4145,2024-02-22,Ubi Jalar,8000
4146,2024-02-22,Bawang Putih Bonggol,33000
4147,2024-02-22,Cabe Rawit Merah,75000
4148,2024-02-22,Beras premium,15000
4149,2024-02-22,Minyak Goreng Curah,14500
4150,2024-02-19,Beras Medium,13000
4151,2024-02-19,Beras Termurah,10800
4152,2024-02-19,Gula Pasir Konsumsi,17000
4153,2024-02-19,Minyak Goreng Kemasan,15000
4154,2024-02-19,Daging Ayam Ras,35000
4155,2024-02-19,Telur Ayam Ras,30000
4156,2024-02-19,Daging Sapi Murni,130000
4157,2024-02-19,Bawang Merah,22000
4158,2024-02-19,Cabe Merah Keriting,80000
4159,2024-02-19,Cabe Merah Besar,80000
4160,2024-02-19,Jagung Pipilan Kering,8000
4161,2024-02-19,Kedelai Biji Kering (Impor),11000
4162,2024-02-19,Bawang Putih Kating,38000
4163,2024-02-19,Terigu,10000
4164,2024-02-19,Ubi Jalar,8000
4165,2024-02-19,Bawang Putih Bonggol,33000
4166,2024-02-19,Cabe Rawit Merah,70000
4167,2024-02-19,Beras premium,15000
4168,2024-02-19,Minyak Goreng Curah,14500
4169,2024-02-15,Beras Medium,13000
4170,2024-02-15,Beras Termurah,10800
4171,2024-02-15,Gula Pasir Konsumsi,17000
4172,2024-02-15,Minyak Goreng Kemasan,15000
4173,2024-02-15,Daging Ayam Ras,35000
4174,2024-02-15,Telur Ayam Ras,28000
4175,2024-02-15,Daging Sapi Murni,130000
4176,2024-02-15,Bawang Merah,22000
4177,2024-02-15,Cabe Merah Keriting,70000
4178,2024-02-15,Cabe Merah Besar,80000
4179,2024-02-15,Jagung Pipilan Kering,8000
4180,2024-02-15,Kedelai Biji Kering (Impor),11000
4181,2024-02-15,Bawang Putih Kating,38000
4182,2024-02-15,Terigu,10000
4183,2024-02-15,Ubi Jalar,8000
4184,2024-02-15,Bawang Putih Bonggol,33000
4185,2024-02-15,Cabe Rawit Merah,60000
4186,2024-02-15,Beras premium,15000
4187,2024-02-15,Minyak Goreng Curah,15000
4188,2024-02-12,Beras Medium,13000
4189,2024-02-12,Beras Termurah,10800
4190,2024-02-12,Gula Pasir Konsumsi,17000
4191,2024-02-12,Minyak Goreng Kemasan,15000
4192,2024-02-12,Daging Ayam Ras,35000
4193,2024-02-12,Telur Ayam Ras,27000
4194,2024-02-12,Daging Sapi Murni,130000
4195,2024-02-12,Bawang Merah,22000
4196,2024-02-12,Cabe Merah Keriting,55000
4197,2024-02-12,Cabe Merah Besar,80000
4198,2024-02-12,Jagung Pipilan Kering,8000
4199,2024-02-12,Kedelai Biji Kering (Impor),11000
4200,2024-02-12,Bawang Putih Kating,38000
4201,2024-02-12,Terigu,10000
4202,2024-02-12,Ubi Jalar,8000
4203,2024-02-12,Bawang Putih Bonggol,33000
4204,2024-02-12,Cabe Rawit Merah,50000
4205,2024-02-12,Beras premium,15000
4206,2024-02-12,Minyak Goreng Curah,15000
4207,2024-02-09,Beras Medium,13000
4208,2024-02-09,Beras Termurah,10800
4209,2024-02-09,Gula Pasir Konsumsi,17000
4210,2024-02-09,Minyak Goreng Kemasan,15000
4211,2024-02-09,Daging Ayam Ras,35000
4212,2024-02-09,Telur Ayam Ras,27000
4213,2024-02-09,Daging Sapi Murni,130000
4214,2024-02-09,Bawang Merah,22000
4215,2024-02-09,Cabe Merah Keriting,55000
4216,2024-02-09,Cabe Merah Besar,70000
4217,2024-02-09,Jagung Pipilan Kering,8000
4218,2024-02-09,Kedelai Biji Kering (Impor),11500
4219,2024-02-09,Bawang Putih Kating,38000
4220,2024-02-09,Terigu,10000
4221,2024-02-09,Ubi Jalar,8000
4222,2024-02-09,Bawang Putih Bonggol,33000
4223,2024-02-09,Cabe Rawit Merah,35000
4224,2024-02-09,Beras premium,15000
4225,2024-02-09,Minyak Goreng Curah,15000
4226,2024-02-05,Beras Medium,12200
4227,2024-02-05,Beras Termurah,10800
4228,2024-02-05,Gula Pasir Konsumsi,17000
4229,2024-02-05,Minyak Goreng Kemasan,15000
4230,2024-02-05,Daging Ayam Ras,33000
4231,2024-02-05,Telur Ayam Ras,26000
4232,2024-02-05,Daging Sapi Murni,130000
4233,2024-02-05,Bawang Merah,22000
4234,2024-02-05,Cabe Merah Keriting,60000
4235,2024-02-05,Cabe Merah Besar,70000
4236,2024-02-05,Jagung Pipilan Kering,8000
4237,2024-02-05,Kedelai Biji Kering (Impor),11500
4238,2024-02-05,Bawang Putih Kating,38000
4239,2024-02-05,Terigu,10000
4240,2024-02-05,Ubi Jalar,8000
4241,2024-02-05,Bawang Putih Bonggol,33000
4242,2024-02-05,Cabe Rawit Merah,40000
4243,2024-02-05,Beras premium,14500
4244,2024-02-05,Minyak Goreng Curah,15000
4245,2024-02-01,Beras Medium,12200
4246,2024-02-01,Beras Termurah,10800
4247,2024-02-01,Gula Pasir Konsumsi,17000
4248,2024-02-01,Minyak Goreng Kemasan,15000
4249,2024-02-01,Daging Ayam Ras,33000
4250,2024-02-01,Telur Ayam Ras,26000
4251,2024-02-01,Daging Sapi Murni,130000
4252,2024-02-01,Bawang Merah,22000
4253,2024-02-01,Cabe Merah Keriting,45000
4254,2024-02-01,Cabe Merah Besar,70000
4255,2024-02-01,Jagung Pipilan Kering,8000
4256,2024-02-01,Kedelai Biji Kering (Impor),11500
4257,2024-02-01,Bawang Putih Kating,38000
4258,2024-02-01,Terigu,10000
4259,2024-02-01,Ubi Jalar,8000
4260,2024-02-01,Bawang Putih Bonggol,33000
4261,2024-02-01,Cabe Rawit Merah,30000
4262,2024-02-01,Beras premium,14500
4263,2024-02-01,Minyak Goreng Curah,14500
4264,2024-01-29,Beras Medium,12200
4265,2024-01-29,Beras Termurah,10800
4266,2024-01-29,Gula Pasir Konsumsi,17000
4267,2024-01-29,Minyak Goreng Kemasan,15000
