# Unnamed: 0_level_1,Tanggal Unnamed: 1_level_1,Komoditas Bawang Merah Bawang Putih Bonggol Beras Medium Beras premium Beras SPHP Brokoli Cabe Merah Besar Cabe Merah Keriting Cabe Rawit Merah Daging Ayam Ras Daging Sapi Murni Gula Pasir Konsumsi Jagung Pipilan Kering Kacang Panjang Kedelai Biji Kering (Impor) Minyak Goreng Kemasan Pakcoy Sawi Putih Telur Ayam Ras Tepung Terigu Kemasan Terong Timun Tomat Wortel,Harga (Rp/Kg) Unnamed: 3_level_1
477,2026-05-26,Kacang Panjang,9000
478,2026-05-26,Terong,9000
479,2026-05-26,Timun,10000
480,2026-05-26,Tomat,20000
481,2026-05-21,Beras Medium,13154
482,2026-05-21,Gula Pasir Konsumsi,17692
483,2026-05-21,Minyak Goreng Kemasan,22000
484,2026-05-21,Daging Ayam Ras,34429
485,2026-05-21,Telur Ayam Ras,25860
486,2026-05-21,Daging Sapi Murni,147941
487,2026-05-21,Bawang Merah,45000
488,2026-05-21,Cabe Merah Keriting,42783
489,2026-05-21,Cabe Merah Besar,48833
490,2026-05-21,Jagung Pipilan Kering,6338
491,2026-05-21,Kedelai Biji Kering (Impor),10850
492,2026-05-21,Bawang Putih Bonggol,30333
493,2026-05-21,Cabe Rawit Merah,74522
494,2026-05-21,Beras premium,14784
495,2026-05-21,Beras SPHP,12460
496,2026-05-21,Tepung Terigu Kemasan,11720
497,2026-05-21,Sawi Putih,8000
498,2026-05-21,Pakcoy,9000
499,2026-05-21,Wortel,13000
500,2026-05-21,Brokoli,22000
501,2026-05-21,Kacang Panjang,9000
502,2026-05-21,Terong,9000
503,2026-05-21,Timun,8000
504,2026-05-21,Tomat,14000
505,2026-05-18,Beras Medium,13131
506,2026-05-18,Gula Pasir Konsumsi,17788
507,2026-05-18,Minyak Goreng Kemasan,22040
508,2026-05-18,Daging Ayam Ras,34905
509,2026-05-18,Telur Ayam Ras,26120
510,2026-05-18,Daging Sapi Murni,147941
511,2026-05-18,Bawang Merah,44000
512,2026-05-18,Cabe Merah Keriting,42870
513,2026-05-18,Cabe Merah Besar,49000
514,2026-05-18,Jagung Pipilan Kering,6338
515,2026-05-18,Kedelai Biji Kering (Impor),10842
516,2026-05-18,Bawang Putih Bonggol,30556
517,2026-05-18,Cabe Rawit Merah,78913
518,2026-05-18,Beras premium,14776
